block,trial,baseline,baseline_key,target1,t1_key,target2,t2_key,target3,t3_key,target4,t4_key,blank1,blank1_2,fixation,fixation2
1,32,b32-1.jpg,b32-1.jpg,t321-1.jpg,t321-1.jpg,t322-1.jpg,t322-1.jpg,t323-1.jpg,t323-1.jpg,t324-1.jpg,t324-1.jpg,blank1,blank1_2,fixation,fixation2
1,33,b33-1.jpg,b33-1.jpg,t331-1.jpg,t331-1.jpg,t332-1.jpg,t332-1.jpg,t333-1.jpg,t333-1.jpg,t334-1.jpg,t334-1.jpg,blank1,blank1_2,fixation,fixation2
1,34,b34-1.jpg,b34-1.jpg,t341-1.jpg,t341-1.jpg,t342-1.jpg,t342-1.jpg,t343-1.jpg,t343-1.jpg,t344-1.jpg,t344-1.jpg,blank1,blank1_2,fixation,fixation2
1,35,b35-1.jpg,b35-1.jpg,t351-1.jpg,t351-1.jpg,t352-1.jpg,t352-1.jpg,t353-1.jpg,t353-1.jpg,t354-1.jpg,t354-1.jpg,blank1,blank1_2,fixation,fixation2
1,36,b36-1.jpg,b36-1.jpg,t361-1.jpg,t361-1.jpg,t362-1.jpg,t362-1.jpg,t363-1.jpg,t363-1.jpg,t364-1.jpg,t364-1.jpg,blank1,blank1_2,fixation,fixation2
1,37,b37-1.jpg,b37-1.jpg,t371-1.jpg,t371-1.jpg,t372-1.jpg,t372-1.jpg,t373-1.jpg,t373-1.jpg,t374-1.jpg,t374-1.jpg,blank1,blank1_2,fixation,fixation2
1,38,b38-1.jpg,b38-1.jpg,t381-1.jpg,t381-1.jpg,t382-1.jpg,t382-1.jpg,t383-1.jpg,t383-1.jpg,t384-1.jpg,t384-1.jpg,blank1,blank1_2,fixation,fixation2
1,39,b39-1.jpg,b39-1.jpg,t391-1.jpg,t391-1.jpg,t392-1.jpg,t392-1.jpg,t393-1.jpg,t393-1.jpg,t394-1.jpg,t394-1.jpg,blank1,blank1_2,fixation,fixation2
1,40,b40-1.jpg,b40-1.jpg,t401-1.jpg,t401-1.jpg,t402-1.jpg,t402-1.jpg,t403-1.jpg,t403-1.jpg,t404-1.jpg,t404-1.jpg,blank1,blank1_2,fixation,fixation2
1,41,b41-1.jpg,b41-1.jpg,t411-1.jpg,t411-1.jpg,t412-1.jpg,t412-1.jpg,t413-1.jpg,t413-1.jpg,t414-1.jpg,t414-1.jpg,blank1,blank1_2,fixation,fixation2
1,42,b42-1.jpg,b42-1.jpg,t421-1.jpg,t421-1.jpg,t422-1.jpg,t422-1.jpg,t423-1.jpg,t423-1.jpg,t424-1.jpg,t424-1.jpg,blank1,blank1_2,fixation,fixation2
1,43,b43-1.jpg,b43-1.jpg,t431-1.jpg,t431-1.jpg,t432-1.jpg,t432-1.jpg,t433-1.jpg,t433-1.jpg,t434-1.jpg,t434-1.jpg,blank1,blank1_2,fixation,fixation2
1,44,b44-1.jpg,b44-1.jpg,t441-1.jpg,t441-1.jpg,t442-1.jpg,t442-1.jpg,t443-1.jpg,t443-1.jpg,t444-1.jpg,t444-1.jpg,blank1,blank1_2,fixation,fixation2
1,45,b45-1.jpg,b45-1.jpg,t451-1.jpg,t451-1.jpg,t452-1.jpg,t452-1.jpg,t453-1.jpg,t453-1.jpg,t454-1.jpg,t454-1.jpg,blank1,blank1_2,fixation,fixation2
