pic,AOI1,mianji
b1-1.jpg,yuduan,181.3396453857422
b1-1.jpg,question,25.444507598876953
b1-1.jpg,yes,3.4297943115234375
b1-1.jpg,no,3.8237571716308594
b1-1.jpg,all_aoi,214.03770446777344
b1-1.jpg,BG,910.9622955322266
b10-1.jpg,yuduan,150.9899139404297
b10-1.jpg,question,25.444507598876953
b10-1.jpg,yes,3.4297943115234375
b10-1.jpg,no,3.8237571716308594
b10-1.jpg,all_aoi,183.68797302246094
b10-1.jpg,BG,941.3120269775391
b11-1.jpg,yuduan,181.3396453857422
b11-1.jpg,question,25.444507598876953
b11-1.jpg,yes,3.4297943115234375
b11-1.jpg,no,3.8237571716308594
b11-1.jpg,all_aoi,214.03770446777344
b11-1.jpg,BG,910.9622955322266
b12-1.jpg,yuduan,150.9899139404297
b12-1.jpg,question,25.444507598876953
b12-1.jpg,yes,3.4297943115234375
b12-1.jpg,no,3.8237571716308594
b12-1.jpg,all_aoi,183.68797302246094
b12-1.jpg,BG,941.3120269775391
b13-1.jpg,yuduan,218.51806640625
b13-1.jpg,question,25.444507598876953
b13-1.jpg,yes,3.4297943115234375
b13-1.jpg,no,3.8237571716308594
b13-1.jpg,all_aoi,251.21612548828125
b13-1.jpg,BG,873.78387451171875
b14-1.jpg,yuduan,242.7978515625
b14-1.jpg,question,25.444507598876953
b14-1.jpg,yes,3.4297943115234375
b14-1.jpg,no,3.8237571716308594
b14-1.jpg,all_aoi,275.49591064453125
b14-1.jpg,BG,849.50408935546875
b15-1.jpg,yuduan,150.9899139404297
b15-1.jpg,question,25.444507598876953
b15-1.jpg,yes,3.4297943115234375
b15-1.jpg,no,3.8237571716308594
b15-1.jpg,all_aoi,183.68797302246094
b15-1.jpg,BG,941.3120269775391
b16-1.jpg,yuduan,150.9899139404297
b16-1.jpg,question,25.444507598876953
b16-1.jpg,yes,3.4297943115234375
b16-1.jpg,no,3.8237571716308594
b16-1.jpg,all_aoi,183.68797302246094
b16-1.jpg,BG,941.3120269775391
b17-1.jpg,yuduan,150.9899139404297
b17-1.jpg,question,25.444507598876953
b17-1.jpg,yes,3.4297943115234375
b17-1.jpg,no,3.8237571716308594
b17-1.jpg,all_aoi,183.68797302246094
b17-1.jpg,BG,941.3120269775391
b18-1.jpg,yuduan,218.51806640625
b18-1.jpg,question,25.444507598876953
b18-1.jpg,yes,3.4297943115234375
b18-1.jpg,no,3.8237571716308594
b18-1.jpg,all_aoi,251.21612548828125
b18-1.jpg,BG,873.78387451171875
b19-1.jpg,yuduan,115.3289794921875
b19-1.jpg,question,25.444507598876953
b19-1.jpg,yes,3.4297943115234375
b19-1.jpg,no,3.8237571716308594
b19-1.jpg,all_aoi,148.02703857421875
b19-1.jpg,BG,976.97296142578125
b2-1.jpg,yuduan,150.9899139404297
b2-1.jpg,question,25.444507598876953
b2-1.jpg,yes,3.4297943115234375
b2-1.jpg,no,3.8237571716308594
b2-1.jpg,all_aoi,183.68797302246094
b2-1.jpg,BG,941.3120269775391
b20-1.jpg,yuduan,218.51806640625
b20-1.jpg,question,25.444507598876953
b20-1.jpg,yes,3.4297943115234375
b20-1.jpg,no,3.8237571716308594
b20-1.jpg,all_aoi,251.21612548828125
b20-1.jpg,BG,873.78387451171875
b21-1.jpg,yuduan,218.51806640625
b21-1.jpg,question,25.444507598876953
b21-1.jpg,yes,3.4297943115234375
b21-1.jpg,no,3.8237571716308594
b21-1.jpg,all_aoi,251.21612548828125
b21-1.jpg,BG,873.78387451171875
b22-1.jpg,yuduan,150.9899139404297
b22-1.jpg,question,25.444507598876953
b22-1.jpg,yes,3.4297943115234375
b22-1.jpg,no,3.8237571716308594
b22-1.jpg,all_aoi,183.68797302246094
b22-1.jpg,BG,941.3120269775391
b23-1.jpg,yuduan,150.9899139404297
b23-1.jpg,question,25.444507598876953
b23-1.jpg,yes,3.4297943115234375
b23-1.jpg,no,3.8237571716308594
b23-1.jpg,all_aoi,183.68797302246094
b23-1.jpg,BG,941.3120269775391
b24-1.jpg,yuduan,115.3289794921875
b24-1.jpg,question,25.444507598876953
b24-1.jpg,yes,3.4297943115234375
b24-1.jpg,no,3.8237571716308594
b24-1.jpg,all_aoi,148.02703857421875
b24-1.jpg,BG,976.97296142578125
b25-1.jpg,yuduan,115.3289794921875
b25-1.jpg,question,25.444507598876953
b25-1.jpg,yes,3.4297943115234375
b25-1.jpg,no,3.8237571716308594
b25-1.jpg,all_aoi,148.02703857421875
b25-1.jpg,BG,976.97296142578125
b26-1.jpg,yuduan,218.51806640625
b26-1.jpg,question,25.444507598876953
b26-1.jpg,yes,3.4297943115234375
b26-1.jpg,no,3.8237571716308594
b26-1.jpg,all_aoi,251.21612548828125
b26-1.jpg,BG,873.78387451171875
b27-1.jpg,yuduan,150.9899139404297
b27-1.jpg,question,25.444507598876953
b27-1.jpg,yes,3.4297943115234375
b27-1.jpg,no,3.8237571716308594
b27-1.jpg,all_aoi,183.68797302246094
b27-1.jpg,BG,941.3120269775391
b28-1.jpg,yuduan,150.9899139404297
b28-1.jpg,question,25.444507598876953
b28-1.jpg,yes,3.4297943115234375
b28-1.jpg,no,3.8237571716308594
b28-1.jpg,all_aoi,183.68797302246094
b28-1.jpg,BG,941.3120269775391
b29-1.jpg,yuduan,150.9899139404297
b29-1.jpg,question,25.444507598876953
b29-1.jpg,yes,3.4297943115234375
b29-1.jpg,no,3.8237571716308594
b29-1.jpg,all_aoi,183.68797302246094
b29-1.jpg,BG,941.3120269775391
b3-1.jpg,yuduan,181.3396453857422
